year,Games,Business,Education,Utilities,Lifestyle,Food & Drink,Health & Fitness,Productivity,Entertainment,Shopping
2008,130,17,138,46,19,7,15,32,35,4
2009,671,211,504,372,201,61,132,163,302,48
2010,1334,549,1030,879,527,99,310,487,736,89
2011,2919,1221,2352,1536,1040,176,487,907,1091,176
2012,4520,2133,3705,1999,1749,376,753,1193,1487,328
2013,7263,3400,5064,2683,2351,731,1222,1732,1723,425
2014,11415,4891,6445,3846,3375,1338,1825,2304,2697,709
2015,16009,7077,8600,5482,5158,3119,3205,3145,3862,1017
2016,26175,9757,11795,7578,7809,5384,4689,4445,6194,2377
2017,23815,12025,12844,8990,8589,6966,5607,5544,5863,2924
2018,19621,16106,13171,11278,9770,7126,6668,6890,5829,3799
2019,20897,22125,16244,14457,12603,7424,8780,9264,6918,6113
2020,30433,25833,19686,17863,16768,17944,13952,12064,8367,14709
2021,28498,22952,17596,16997,14606,22406,13078,11259,8035,16819
