year,Education,Music & Audio,Tools,Business,Entertainment,Books & Reference,Lifestyle,Personalization,Health & Fitness,Productivity
2008,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,154,144,575,83,173,408,216,145,139,288
2011,908,636,1506,615,611,950,712,608,353,724
2012,2305,957,2465,1244,1049,1816,1325,1306,598,1171
2013,4210,2094,3616,2262,1762,2786,2305,2016,1146,1626
2014,6927,3476,5142,3977,3180,4214,4342,3667,1985,2784
2015,11029,6816,7292,6514,5811,6823,8587,5514,3938,4073
2016,17421,8958,9713,10781,7955,10593,13164,6184,5939,5880
2017,30077,14810,14604,16708,14643,13802,16299,9680,9745,8318
2018,38322,20463,19381,23515,19136,18920,16754,13060,12242,11490
2019,48894,43049,28874,32770,29463,24369,21234,17768,16526,16635
2020,58964,41998,33103,30506,35715,23179,23804,19779,21153,16783
2021,16905,10051,12063,7575,15989,7677,6598,9133,6959,5503
