App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Play services,Everyone,"May 24, 2012",True,12057627016
YouTube,Teen,"Oct 20, 2010",True,9766230924
Google,Everyone,"Aug 12, 2010",True,9154248491
Google Maps - Navigate & Explore,Everyone,,True,9141671889
Google Text-to-Speech,Everyone,"Oct 10, 2013",True,9034404884
Google Chrome: Fast & Secure,Everyone,"Feb 7, 2012",True,8925640788
Gmail,Everyone,"Sep 21, 2010",True,8756574289
Android Accessibility Suite,Everyone,,True,7408134567
Google Drive,Everyone,"Apr 27, 2011",True,7028265259
Facebook,Teen,,True,6782619635
